published_date,title,source,description,link,date_string
2025-01-06,Dialog dengan Publik: Kunci Sukses Media Massa di 2025,Tempo.co,Nieman Lab merilis laporan prediksi tren jurnalisme 2025. Apa pengaruh teknologi AI bagi media massa?,https://www.tempo.co/kolom/prediksi-tren-jurnalisme-2025-1190152,6 Jan 2025
2025-01-06,"Atmakusumah, Sang Guru Besar Jurnalisme Indonesia",Tempo.co,"Meski bukan profesor, Atmakusumah pernah menguji disertasi di Universitas Leiden. Ia juga dijuluki zeergeleerde opponens.",https://www.tempo.co/kolom/atmakusumah-dan-kebebasan-pers-1190151,6 Jan 2025
2025-01-06,"SMPN 1 Sinjai Masuk Kandidat Sekolah Rujukan Google 2025, Siswa Kini Gunakan Absen Digital",VIVA Sulawesi,Menggunakan sistem absensi melalui aplikasi zona masseddi untuk efisiensi dan efektivitas pengelolaan data kehadiran siswa dan guru.,https://sulawesi.viva.co.id/news/935-smpn-1-sinjai-masuk-kandidat-sekolah-rujukan-google-2025-siswa-kini-gunakan-absen-digital,6 Jan 2025
2025-01-05,"Viral Dugaan Aktivitas LGBT di Jakarta Selatan, Polisi Lakukan Penyelidikan",Kompas.com,"Sebuah video rekaman yang menampilkan dugaan aktivitas LGBT di Grand ITC Permata Hijau, Kebayoran Lama, Jakarta Selatan, viral di media sosial.",https://megapolitan.kompas.com/read/2025/01/05/21113851/viral-dugaan-aktivitas-lgbt-di-jakarta-selatan-polisi-lakukan,5 Jan 2025
2025-01-04,DPRD Sumbar Kaji Perda untuk Berantas LGBT dan Penyakit Masyarakat,Kompas.com,"DPRD Sumatera Barat tengah mengkaji pembentukan peraturan daerah (perda) untuk memberantas penyakit masyarakat, termasuk LGBT.",https://regional.kompas.com/read/2025/01/04/170326778/dprd-sumbar-kaji-perda-untuk-berantas-lgbt-dan-penyakit-masyarakat,4 Jan 2025
2025-01-02,"Profil Atmakusumah Astraatmadja, Tokoh Pers Nasional yang Meninggal Dunia - Kompas.com",Kompas.com,Atmakusumah Astraatmadja adalah tokoh pers Indonesia dan Ketua Dewan Pers pada periode 2000-2003 yang meninggal di usia 86 tahun. Berikut profilnya.,https://www.kompas.com/tren/read/2025/01/02/191500265/profil-atmakusumah-astraatmadja-tokoh-pers-nasional-yang-meninggal-dunia?page=all,2 Jan 2025
2025-01-02,Ketua Dewan Pers Pertama Atmakusumah Astraatmadja Meninggal Dunia,detikNews,"Tokoh pers Atmakusumah Astraatmadja (86) meninggal dunia di Rumah Sakit Cipto Mangunkusumo (RSCM) Kencana, Jakarta, usai menjalani perawatan.",https://news.detik.com/berita/d-7714453/ketua-dewan-pers-pertama-atmakusumah-astraatmadja-meninggal-dunia,2 Jan 2025
2024-12-31,Ustaz Adi Hidayat Ungkap Pentingnya Bulan Rajab untuk Evaluasi Diri,Universitas Muhammadiyah Jakarta - UMJ,Momen ini sangat pas karena Rajab memiliki peran penting dalam kehidupan umat muslim. Hal ini diungkapkan oleh Wakil Ketua I Majelis.,https://umj.ac.id/opini-1/ustaz-adi-hidayat-ungkap-pentingnya-bulan-rajab-untuk-evaluasi-diri/,31 Des 2024
2024-12-31,Mengapa Membaca Tempo Harus Bayar,Tempo.co,Tempo menempuh cara tak populer dalam menyebarkan informasi: platform berbayar dengan berlangganan. Mengapa?,https://www.tempo.co/kolom/model-bisnis-langganan-tempo-1187963,31 Des 2024
2024-12-31,Dewan Pers Soroti Indeks Kemerdekaan Pers Turun pada 2024,Kompas.com,"Indeks Kemerdekaan Pers Indonesia turun, Dewan Pers soroti kekerasan wartawan dan ketergantungan media pada pemda sebagai penyebabnya.",https://nasional.kompas.com/read/2024/12/31/19531211/dewan-pers-soroti-indeks-kemerdekaan-pers-turun-pada-2024,31 Des 2024
