Source,Target,Weight
fabianahahn235,tilehopper,1
fadhlierlanda,Hasbil_Lbs,2
fadilahdifa,kangdede78,1
fadlan_yudatama,brfelindra,1
faisdzaky,WidasSatyo,1
farizrizyy,kegblgnunfaedh,1
fayzul_rafi,saludosparatii,1
fdmncfdmnc,zenrs,1
ferizandra,blank0429,1
ferlanmedian,corbuzier,1
firman__nurhuda,ARSIPAJA,1
firman__nurhuda,DPR_RI,1
firman__nurhuda,G0mb4k,1
firman__nurhuda,cakimiNOW,1
firnasional,asumsico,2
firnasional,en_pau,2
firnasional,msaid_didu,1
flyezam,footycinephile,2
flyezam,lanicolecky,2
flyezam,rezaimamri,2
foxtrotvlrt,MorphoMenelausX,2
foxtrotvlrt,irwndfrry,2
frasaccordi,feedemady,1
frasaccordi,pandji,1
fraviato,theMiniNino,1
frierensaga,BudiBukanIntel,1
frierensaga,PhoenixNauval,1
fufufuf26,grok,2
fufufuf26,jackjackparrr,1
fullchanieee,markajatau,1
fuyukidera78,JPFBASE,1
fuyukidera78,youngjjunie_,1
fxnetizen,wisnu_prasetya,1
gabuterssst,ardisatriawan,1
gabuterssst,corbuzier,1
gambreng__,siomndut,1
gb_sleepy,CNNIndonesia,1
gb_sleepy,DKIJakarta,1
gb_sleepy,hariankompas,1
gb_sleepy,sofiesyarief,1
gearcloudy,YLBHI,1
gearcloudy,grok,2
gearcloudy,zarryhendrik,1
gegeakutampol_,jagatembun,1
gilangdwmny,TirtoID,1
gojodreee,erensyq,1
golkar_id,meutya_hafid,1
gowestid,GoWest,1
grok,AbiyRiskifa,1
grok,Hanif_AF,1
grok,Ndrewstjan,1
grok,RRukminto,1
grok,bete_sama_kamu,1
grok,bfndrk,1
grok,grok,1
grok,muks53741,1
grok,nessiejudge,1
grok,prabowo,1
grok,tempodotco,1
hagogah,ekeckeck,1
hagogah,kelzeg,1
hani_putri02,brfelindra,1
hazmihakam,diidot,1
hegiadhi,ARSIPAJA,1
hegiadhi,dickymmaulana,1
heloo_ko,corbuzier,1
herllynnnn,y0urtalkle,1
heydanang,kumparan,1
hnirankara,Istvannandi,1
hnirankara,MusTakim1091,1
hnirankara,barengwarga,1
hnirankara,dbluestarqueen,1
hnirankara,vita_AVP,1
hpyzzz,kikysaputrii,1
huben92,fraviato,1
hurtherback,rizkidwika,1
iam__stanis,BudiBukanIntel,1
iam__stanis,barengwarga,1
iam__stanis,gearcloudy,1
iam__stanis,jackjackparrr,1
iam__stanis,txtdarimaskael5,1
icha_pertiwi10,brfelindra,1
iiosomnia,BudiBukanIntel,1
iiosomnia,pasifisstate,1
ilatireng,gnzt6,1
ilatireng,idextratime,1
ilatireng,itsnathmf,1
ilatireng,pengacarahandal,1
imamprw,irwndfrry,2
indoict,indoict,6
indraxcahya,ChangeOrg_ID,1
inimahyoga,DraftAnakUnpad,1
inimahyoga,Mythicalforest,1
inimahyoga,wisnu_prasetya,1
internetmain,Dandhy_Laksono,1
isusilani,msaid_didu,1
itsScopoo,BudiBukanIntel,1
itsScopoo,matamu_717,1
itsnathmf,gnzt6,1
itsnathmf,idextratime,1
itsnathmf,ilatireng,1
itsnathmf,pengacarahandal,1
iwalanwar,prabowo,1
iwalanwar,samuelpab,1
jaka_mah7,brfelindra,1
jakartaramble,sicupuh,1
jawirisme,kikysaputrii,1
jinawi_kuswoyo,brfelindra,1
jiungnaling,BocorAlusPol,1
